City_ID,City,Country,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Date
174,Kant,IN,27.8,79.8,296.4,296.4,91,1,1.87,2022-10-11 15:10:20
175,Saldanha,ZA,-33.0117,17.9442,291.03,291.03,88,73,6.42,2022-10-11 15:10:21
176,Shakiso,ET,5.75,38.9167,290.46,290.46,82,91,1.18,2022-10-11 15:10:23
177,Boca Do Acre,BR,-8.7522,-67.3978,305.1,305.1,53,61,0.71,2022-10-11 15:10:25
178,Dubti,ET,11.7361,41.0853,309.47,309.47,21,35,4.04,2022-10-11 15:10:26
179,Aketi,CD,2.7388,23.7833,296.88,296.88,94,96,0.88,2022-10-11 15:10:29
180,Marienburg,PL,54.0359,19.0266,286.97,284.73,53,9,5.74,2022-10-11 15:10:30
181,San Andres,CO,12.5847,-81.7006,301.52,301.52,77,52,6.58,2022-10-11 15:10:31
182,Port-Gentil,GA,-0.7193,8.7815,303.13,303.13,70,40,6.17,2022-10-11 15:10:31
183,San Bartolome De Tirajana,ES,27.9248,-15.5733,293.41,292.77,70,75,10.29,2022-10-11 15:10:34
184,Sao Filipe,CV,14.8961,-24.4956,300.02,300.02,74,26,3.42,2022-10-11 15:10:35
185,Uyuni,BO,-20.4597,-66.825,282.75,282.75,7,0,10.97,2022-10-11 15:10:37
186,Melito Di Porto Salvo,IT,37.9222,15.7714,298.45,295.45,61,74,5.14,2022-10-11 15:10:38
187,Pisco,PE,-13.7,-76.2167,292.18,290.94,68,0,4.63,2022-10-11 15:05:40
188,Kruisfontein,ZA,-34.0033,24.7314,293.64,293.64,70,99,11.23,2022-10-11 15:10:40
189,Belmonte,BR,-15.8631,-38.8828,299.54,299.54,63,98,3.64,2022-10-11 15:10:41
190,Inirida,CO,3.8653,-67.9239,300.61,300.61,81,100,0.58,2022-10-11 15:10:41
191,Mazara Del Vallo,IT,37.6641,12.588,298.67,297.34,71,12,3.44,2022-10-11 15:10:43
192,Taoudenni,ML,22.6783,-3.9836,313.44,313.44,12,79,3.38,2022-10-11 15:10:44
193,Cayenne,GF,4.9333,-52.3333,305.17,305.17,58,40,4.63,2022-10-11 15:10:45
