,City,Country,Max Temp,Lat,Lng,Hotel Name
349,Changji,CN,283.59,44.0167,87.3167,Lvye Holiday Resort
350,Lebu,CL,284.64,-37.6167,-73.65,Hostal Las Lilas
351,Richards Bay,ZA,299.6,-28.783,32.0377,BON Hotel Waterfront Richards Bay
352,Havre-Saint-Pierre,CA,280.06,50.2334,-63.5986,Auberge Niapiskau 2
353,Chake Chake,TZ,297.49,-5.2459,39.7666,Pemba Sea View Hotel
354,Berlevag,NO,283.04,70.8578,29.0864,Kvitbrakka
356,Lamu,KE,299.27,-2.2717,40.902,Lamu House
359,Zapolyarnyy,RU,281.75,69.4154,30.8136,Pechenga
360,Pinega,RU,281.49,64.7001,43.3936,"Gostevoy Dom Ooo ""Pinezh'yeles"""
361,Berezovka,BY,284.78,53.7214,25.4993,Nad Nemanom Usad'ba
362,Olafsvik,IS,280.52,64.8945,-23.7142,Hotel Olafsvik
363,Trogir,HR,298.59,43.5125,16.2517,Hotel Medena
366,Brae,GB,283.21,60.3964,-1.353,Busta House Hotel
368,Kargil,IN,280.51,34.5667,76.1,Hotel Caravan Sarai Kargil
369,Tambovka,RU,275.25,50.0969,128.0489,Lyzhnaya Gorka
370,Zomin,UZ,289.62,39.9606,68.3958,Jizzax
372,Hauterive,FR,290.57,46.0901,3.4459,Aletti Palace Hotel
373,Khandbari,NP,293.49,27.3747,87.2039,Sainik Hotel And Lodge
376,Ambilobe,MG,297.66,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
377,Stornoway,GB,285.33,58.2093,-6.3865,Caladh Inn
378,Muisne,EC,297.14,0.6,-80.0333,Quinta Samay
382,Shannon,IE,288.15,52.7039,-8.8642,Treacys Oakwood Hotel
384,Mogadishu,SO,298.47,2.0371,45.3438,Hotel Juba
385,Stoughton,US,290.28,42.1251,-71.1023,Blue Hill Masonic Lodge
386,Saint-Leu,RE,295.63,-21.15,55.2833,La Caz Oceane
387,Kipini,KE,299.31,-2.5257,40.5262,Delta Sea Mall
388,Akdagmadeni,TR,286.44,39.6603,35.8836,Hanedan Otel
389,Skjervoy,NO,284.15,70.0311,20.9714,Skjervøy fiskecamp AS
390,Calvinia,ZA,299.8,-31.4707,19.776,Die Lemoenhuis
391,Murgab,TM,294.17,37.4966,61.9714,Wepa Nurlyýew
392,Karaton,ID,296.79,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
393,Puta,AZ,291.16,40.2967,49.6603,Baki Shipyard
394,Carnarvon,AU,291.38,-24.8667,113.6333,Hospitality Carnarvon
